link,title
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://play.google.com/store/search?q%3Dfacebook&followup=https://play.google.com/store/search?q%3Dfacebook&ec=GAZATg,
https://play.google.com/store/apps/details?id=com.facebook.stella,Facebook View
https://play.google.com/store/apps/details?id=com.facebook.games,"Facebook Gaming: Watch, Play, and Connect"
https://play.google.com/store/apps/details?id=com.facebook.pages.app,Facebook Business Suite (Pages Manager)
https://play.google.com/store/apps/details?id=com.facebook.viewpoints,Facebook Viewpoints
https://play.google.com/store/apps/details?id=com.facebook.adsmanager,Facebook Ads Manager
https://play.google.com/store/apps/details?id=com.facebook.mlite,Messenger Lite
https://play.google.com/store/apps/details?id=com.facebook.lite,Facebook Lite
https://play.google.com/store/apps/details?id=com.facebook.katana,Facebook
https://play.google.com/store/search?q=facebook&c=movies,
https://play.google.com/store/search?q=facebook&c=books,
https://play.google.com/store/search?q=facebook,
https://play.google.com/store/search?q=facebook&c=apps,
https://play.google.com/store/apps/details?id=com.facebook.work,Workplace from Facebook
https://play.google.com/store/apps/details?id=com.facebook.orca,Messenger
